SlNo,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,History,elevation_m,slope_deg,aspect_deg,lulc_class,clay_surface_pct,nearest_road_type,nearest_road_name,nearest_road_ref,road_distance_m,nearest_settlement_type,nearest_settlement_population,nearest_settlement_name,settlement_distance_m,event_date,rainfall_mm
20108,MEGH/WGH/78K02/2007/D-19,Meghalaya,West Garo Hills,Tura town (Rishipara) slide,,25.51028060913086,90.21678161621094,,,27 July 2007,324,13,157,50,28.0,primary,Akonggre road,,115.10675663336662,town,5000,Tura,255.57141071364524,2007-07-27,79.05499823391438
20524,ML-01/2012-13,Meghalaya,West Khasi Hills,Pynden Shallang slide,,25.36497222,91.02411111,,,01 May 2012 at 3 AM,398,13,240,10,29.0,track,,,6727.030941132909,village,0,Uttar Bangshikunda,22354.30879027808,2012-05-01,17.721999280154705
20525,ML-02/2012-13,Meghalaya,Jaintia Hills,West Khasi Hills,,25.26361111,92.38557778,,,"26 June 2012, at 3AM",844,15,176,10,33.0,trunk,,NH6,146.95155769688157,village,0,Sakwa,9988.322567270605,2012-06-26,100.10499787330627
20526,ML-03/2012-13,Meghalaya,Jaintia Hills,Nongshning slide,,25.26005556,92.38863889,,,"26 June 2012, at 3AM",792,12,248,10,34.0,trunk,,NH6,290.70348837209957,village,0,Sakwa,9495.866674559262,2012-06-26,100.10499787330627
20527,ML-04/2012-13,Meghalaya,Jaintia Hills,Tanshang slide,,25.14702778,92.37883333,,,"26 June 2012, at 3AM",191,17,216,10,31.0,trunk,,NH6,219.40669987437465,hamlet,5000,Khaddum,6942.401475152834,2012-06-26,163.58499746769667
20528,ML-05/2012-13,Meghalaya,Jaintia Hills,Tanshang slide II,,25.14702778,92.37883333,,,"26 June 2012, at 3AM",191,17,216,10,31.0,trunk,,NH6,219.40669987437465,hamlet,5000,Khaddum,6942.401475152834,2012-06-26,163.58499746769667
20529,ML-06/2012-13,Meghalaya,Jaintia Hills,Tongseng slide,,25.14341667,92.37805556,,,"26 June 2012, at 3AM",206,28,47,10,29.0,trunk,,NH6,28.26557503853654,hamlet,5000,Khaddum,7085.077525900284,2012-06-26,163.58499746769667
20530,ML-07/2012-13,Meghalaya,Jaintia Hills,Tongseng slide,,25.13427778,92.38511111,,,"26 June 2012, at 3AM",140,22,90,10,31.0,trunk,,NH6,19.35293102689595,hamlet,5000,Khaddum,6675.235733205218,2012-06-26,163.58499746769667
20531,ML-08/2012-13,Meghalaya,Jaintia Hills,Sonapur slide,,25.09022222,92.35805556,,,"26 June 2012, at 3AM",151,27,293,10,26.0,trunk,,NH6,123.19392467478032,hamlet,0,Miklipārā,8545.629894030397,2012-06-26,150.80999552831054
20532,ML-09/2012-13,Meghalaya,Jaintia Hills,Sonapur slide,,25.09055556,92.35972222,,,"26 June 2012, at 3AM",203,21,303,10,26.0,trunk,,NH6,21.316185166535146,hamlet,0,Miklipārā,8430.957994703702,2012-06-26,150.80999552831054
20511,ML-1/2010,Meghalaya,East Khasi Hills,Wall collase of mosque,,25.57711111,91.88141667,,,27 August 2010,1484,3,36,50,31.0,pedestrian,Thana Road,,27.11533424047872,city,143000,Shillong,185.1627702255533,2010-08-27,28.029999527148902
20521,ML-10/2010,Meghalaya,Jaintia Hills,Umkiang Slide,,25.05108333,92.40219444,,,22 April 2010,64,9,192,10,31.0,trunk,,NH6,9.607530461726418,hamlet,0,Miklipārā,2588.5242664520897,2010-04-22,73.92499759048223
20533,ML-10/2012-13,Meghalaya,Jaintia Hills,Sonapur Mandir slide,,25.08772222,92.36086111,,,"26 June 2012, at 3AM",431,23,211,10,27.0,trunk,,NH6,244.779806313926,hamlet,0,Miklipārā,8154.892661494985,2012-06-26,150.80999552831054
20522,ML-11/2010,Meghalaya,Jaintia Hills,Dona Slide,,25.04305556,92.42041667,,,22 April 2010,149,17,148,50,31.0,trunk,,NH6,3.839078124609397,hamlet,0,Miklipārā,728.5079997456826,2010-04-22,73.92499759048223
20534,ML-11/2012-13,Meghalaya,Ri-Bhoi,19th Mile slide,,26.00361111,92.86361111,,,26 July 2012 at 5AM,77,1,132,10,29.0,residential,,,40.69072062350191,town,0,Hojai,1133.9394872428811,2012-07-26,62.04499900341034
20523,ML-12/2010,Meghalaya,Jaintia Hills,Ratachera Slide,,25.04222222,92.44127778,,,22 April 2010,281,22,146,10,31.0,trunk,,NH6,5.506787063270391,hamlet,0,Miklipārā,1474.3462033916428,2010-04-22,73.92499759048223
20535,ML-13/2012-13,Meghalaya,West Khasi Hills,Porsohsat slide,,25.53086111,91.29780556,,,21 August 2012 at 10:30am,1465,20,337,10,31.0,trunk,,NH106,116.90117769763675,town,0,Nongstoin,3277.525972164825,2012-08-21,76.86999797075987
20512,ML-2/2010,Meghalaya,East Khasi Hills,Meghalaya Police's C.I.D Quarters,,25.56183333,91.86855556,,,28 June 2010,1546,15,340,10,30.0,residential,,,4.461516977246604,city,143000,Shillong,2122.108133953446,2010-06-28,60.744998938404024
20513,ML-3/2010,Meghalaya,East Khasi Hills,Lumsohra,,25.57188889,91.90127778,,,28 June 2010,1520,15,76,50,29.0,residential,,,6.267129163782653,city,143000,Shillong,1912.2149740110392,2010-06-28,58.90499868430197
20514,ML-4/2010,Meghalaya,East Khasi Hills,CathedralChurch,,25.56852778,91.89219444,,,28 June 2010,1532,6,107,30,31.0,footway,,,0.032399682515831,city,143000,Shillong,1255.6346803635893,2010-06-28,60.744998938404024
20515,ML-5A/2010,Meghalaya,Jaintia Hills,Tongseng Landslide,,25.13561111,92.38050079345705,,,11th and 12th May 2010,178,24,46,50,31.0,trunk,,NH6,13.986783924983529,hamlet,5000,Khaddum,7064.319868399927,,
20516,ML-5B/2010,Meghalaya,Jaintia Hills,Tongseng Landslide,,25.13561111,92.38050079345705,,,11th and 12th May 2010,178,24,46,50,31.0,trunk,,NH6,13.986783924983529,hamlet,5000,Khaddum,7064.319868399927,,
20517,ML-6/2010,Meghalaya,Jaintia Hills,Tongseng Landslide,,25.13561111,92.38050079345705,,,22 April 2010,178,24,46,50,31.0,trunk,,NH6,13.986783924983529,hamlet,5000,Khaddum,7064.319868399927,2010-04-22,116.06999864988028
