system:index,District,History,Latitude,Longitude,Material_Involved,Movement_Type,NH_SH_Location,SlNo,Slide_Name,Slide_No,State,slope_deg,.geo
00000000000000001698,Jaintia Hills,"26 June 2012, at 3AM",25.14702778,92.37883333,,,,20528,Tanshang slide II,ML-05/2012-13,Meghalaya,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001699,Jaintia Hills,"26 June 2012, at 3AM",25.14341667,92.37805556,,,,20529,Tongseng slide,ML-06/2012-13,Meghalaya,28,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000169a,Jaintia Hills,"26 June 2012, at 3AM",25.13427778,92.38511111,,,,20530,Tongseng slide,ML-07/2012-13,Meghalaya,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000169b,Jaintia Hills,"26 June 2012, at 3AM",25.09022222,92.35805556,,,,20531,Sonapur slide,ML-08/2012-13,Meghalaya,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000169c,Jaintia Hills,"26 June 2012, at 3AM",25.09055556,92.35972222,,,,20532,Sonapur slide,ML-09/2012-13,Meghalaya,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001687,East Khasi Hills,27 August 2010,25.57711111,91.88141667,,,,20511,Wall collase of mosque,ML-1/2010,Meghalaya,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001691,Jaintia Hills,22 April 2010,25.05108333,92.40219444,,,,20521,Umkiang Slide,ML-10/2010,Meghalaya,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000169d,Jaintia Hills,"26 June 2012, at 3AM",25.08772222,92.36086111,,,,20533,Sonapur Mandir slide,ML-10/2012-13,Meghalaya,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001692,Jaintia Hills,22 April 2010,25.04305556,92.42041667,,,,20522,Dona Slide,ML-11/2010,Meghalaya,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000169e,Ri-Bhoi,26 July 2012 at 5AM,26.00361111,92.86361111,,,,20534,19th Mile slide,ML-11/2012-13,Meghalaya,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001693,Jaintia Hills,22 April 2010,25.04222222,92.44127778,,,,20523,Ratachera Slide,ML-12/2010,Meghalaya,22,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000169f,West Khasi Hills,21 August 2012 at 10:30am,25.53086111,91.29780556,,,,20535,Porsohsat slide,ML-13/2012-13,Meghalaya,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001688,East Khasi Hills,28 June 2010,25.56183333,91.86855556,,,,20512,Meghalaya Police's C.I.D Quarters,ML-2/2010,Meghalaya,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001689,East Khasi Hills,28 June 2010,25.57188889,91.90127778,,,,20513,Lumsohra,ML-3/2010,Meghalaya,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000168a,East Khasi Hills,28 June 2010,25.56852778,91.89219444,,,,20514,CathedralChurch,ML-4/2010,Meghalaya,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000168b,Jaintia Hills,11th and 12th May 2010,25.13561111,92.38050079345703,,,,20515,Tongseng Landslide,ML-5A/2010,Meghalaya,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000168c,Jaintia Hills,11th and 12th May 2010,25.13561111,92.38050079345703,,,,20516,Tongseng Landslide,ML-5B/2010,Meghalaya,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000168d,Jaintia Hills,22 April 2010,25.13561111,92.38050079345703,,,,20517,Tongseng Landslide,ML-6/2010,Meghalaya,24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000168e,Jaintia Hills,22 April 2010,25.13486111,92.38200378417969,,,,20518,Tongseng Landslide,ML-7/2010,Meghalaya,36,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000168f,Jaintia Hills,22 April 2010,25.12383333,92.38519444,,,,20519,Sonapur,ML-8/2010,Meghalaya,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001690,Jaintia Hills,22 April 2010,25.07533333,92.36341667,,,,20520,Kulyng Slide,ML-9/2010,Meghalaya,25,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001234,West Khasi Hills,Second week of May 2011,25.67341667,91.06625366210938,,Nil,,19577,Riangdo Landslide,ML-93/2011,Manipur,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001235,Ri-Bhoi,26 June 2011,25.67469444,91.88652778,,Nil,,19578,Umsaw Khwan slide,ML-94/2011,Manipur,5,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001239,Tamenglong,08 June 2010,24.86469444,93.62116667,,Nil,,19582,None slide,MN-10/2010,Manipur,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000123a,Tamenglong,08 June 2010,24.86297222,93.62397222,,Nil,,19583,Khumji slide,MN-11/2010,Manipur,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000123b,Tamenglong,28 March 2010,24.73133333,93.92738889,,Nil,,19584,Khoupum slide,MN-12/2010,Manipur,8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001236,Tamenglong,1st week of June 2010,24.82908333,93.50694444,,Nil,,19579,Irang slide,MN-7/2010,Manipur,23,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001237,Tamenglong,1st week of June 2010,24.84563889,93.50202778,,Nil,,19580,Irang slide,MN-8/2010,Manipur,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001238,Tamenglong,1st week of June 2010,24.86461111,93.59888889,,Nil,,19581,Lukhambi slide,MN-9/2010,Manipur,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002860,MAMIT,June 2010,23.92322222,92.49222222,,,,23972,Mamit landsinking,MZ-27/2010-12,Mizoram,20,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002861,CHHITUIPUI,June 2010,22.49086111,92.98086111,,,,23973,College Veng landsinking,MZ-28/2010-12,Mizoram,18,"{""type"":""MultiPoint"",""coordinates"":[]}"
