system:index,District,History,Latitude,Longitude,Material_Involved,Movement_Type,NH_SH_Location,SlNo,Slide_Name,Slide_No,State,elevation_m,.geo,index_right,osm_id,nearest_road_type,nearest_road_name,nearest_road_ref,road_distance_m
00000000000000001499,West Garo Hills,27 July 2007,25.51028060913086,90.21678161621094,,,,20108,Tura town (Rishipara) slide,MEGH/WGH/78K02/2007/D-19,Meghalaya,324,"{""type"":""MultiPoint"",""coordinates"":[]}",270950,1335311300,primary,Akonggre road,,115.10675663336662
00000000000000001694,West Khasi Hills,01 May 2012 at 3 AM,25.36497222,91.02411111,,,,20524,Pynden Shallang slide,ML-01/2012-13,Meghalaya,398,"{""type"":""MultiPoint"",""coordinates"":[]}",289437,1471214614,track,,,6727.030941132909
00000000000000001695,Jaintia Hills,"26 June 2012, at 3AM",25.26361111,92.38557778,,,,20525,West Khasi Hills,ML-02/2012-13,Meghalaya,844,"{""type"":""MultiPoint"",""coordinates"":[]}",54343,743133270,trunk,,NH6,146.95155769688157
00000000000000001696,Jaintia Hills,"26 June 2012, at 3AM",25.26005556,92.38863889,,,,20526,Nongshning slide,ML-03/2012-13,Meghalaya,792,"{""type"":""MultiPoint"",""coordinates"":[]}",54343,743133270,trunk,,NH6,290.70348837209957
00000000000000001697,Jaintia Hills,"26 June 2012, at 3AM",25.14702778,92.37883333,,,,20527,Tanshang slide,ML-04/2012-13,Meghalaya,191,"{""type"":""MultiPoint"",""coordinates"":[]}",264,44880793,trunk,,NH6,219.40669987437462
00000000000000001698,Jaintia Hills,"26 June 2012, at 3AM",25.14702778,92.37883333,,,,20528,Tanshang slide II,ML-05/2012-13,Meghalaya,191,"{""type"":""MultiPoint"",""coordinates"":[]}",264,44880793,trunk,,NH6,219.40669987437462
00000000000000001699,Jaintia Hills,"26 June 2012, at 3AM",25.14341667,92.37805556,,,,20529,Tongseng slide,ML-06/2012-13,Meghalaya,206,"{""type"":""MultiPoint"",""coordinates"":[]}",264,44880793,trunk,,NH6,28.26557503853654
0000000000000000169a,Jaintia Hills,"26 June 2012, at 3AM",25.13427778,92.38511111,,,,20530,Tongseng slide,ML-07/2012-13,Meghalaya,140,"{""type"":""MultiPoint"",""coordinates"":[]}",264,44880793,trunk,,NH6,19.35293102689595
0000000000000000169b,Jaintia Hills,"26 June 2012, at 3AM",25.09022222,92.35805556,,,,20531,Sonapur slide,ML-08/2012-13,Meghalaya,151,"{""type"":""MultiPoint"",""coordinates"":[]}",8954,366130591,trunk,,NH6,123.19392467478032
0000000000000000169c,Jaintia Hills,"26 June 2012, at 3AM",25.09055556,92.35972222,,,,20532,Sonapur slide,ML-09/2012-13,Meghalaya,203,"{""type"":""MultiPoint"",""coordinates"":[]}",8954,366130591,trunk,,NH6,21.316185166535142
00000000000000001687,East Khasi Hills,27 August 2010,25.57711111,91.88141667,,,,20511,Wall collase of mosque,ML-1/2010,Meghalaya,1484,"{""type"":""MultiPoint"",""coordinates"":[]}",5568,281318876,pedestrian,Thana Road,,27.11533424047872
00000000000000001691,Jaintia Hills,22 April 2010,25.05108333,92.40219444,,,,20521,Umkiang Slide,ML-10/2010,Meghalaya,64,"{""type"":""MultiPoint"",""coordinates"":[]}",265,44880799,trunk,,NH6,9.607530461726418
0000000000000000169d,Jaintia Hills,"26 June 2012, at 3AM",25.08772222,92.36086111,,,,20533,Sonapur Mandir slide,ML-10/2012-13,Meghalaya,431,"{""type"":""MultiPoint"",""coordinates"":[]}",8954,366130591,trunk,,NH6,244.779806313926
00000000000000001692,Jaintia Hills,22 April 2010,25.04305556,92.42041667,,,,20522,Dona Slide,ML-11/2010,Meghalaya,149,"{""type"":""MultiPoint"",""coordinates"":[]}",38179,666960671,trunk,,NH6,3.8390781246093972
