system:index,District,History,Latitude,Longitude,Material_Involved,Movement_Type,NH_SH_Location,SlNo,Slide_Name,Slide_No,State,elevation_m,.geo,index_right,osm_id,nearest_road_type,nearest_road_name,nearest_road_ref,road_distance_m
00000000000000000187,Dima Hasao,,25.428597,93.312597,Debris,Slide,Darangibra–Kepre road section.,295,Darangibra–Kepre slide No.1,AS/DIM/83G07/2017/24,Assam,370,"{""type"":""MultiPoint"",""coordinates"":[]}",38654,667660345,secondary,,Nc-M-1,15.806704450996527
0000000000000000019f,Dima Hasao,,25.439372,93.354197,Debris,Slide,Darangibra–Kepre road section.,311,Darangibra–Kepre slide No.2,AS/DIM/83G07/2017/26,Assam,397,"{""type"":""MultiPoint"",""coordinates"":[]}",38651,667660329,secondary,,Nc-M-1,7.44249828672755
00000000000000000148,Dima Hasao,,25.282861,93.296111,Debris,Slide,Guilong–Semkhor road section.,256,Guilong–Semkhor slide No.3,AS/DIM/83G07/2017/29,Assam,754,"{""type"":""MultiPoint"",""coordinates"":[]}",277848,1376534380,unclassified,,,229.03382133571122
0000000000000000014a,Dima Hasao,,25.308028,93.471028,Debris,Slide,Nchen–Ngaulong road section.,258,Nchen–Ngaulong slide No.2,AS/DIM/83G07/2017/5,Assam,1594,"{""type"":""MultiPoint"",""coordinates"":[]}",284995,1454785940,unclassified,,,4.239620595520167
00000000000000000195,Dima Hasao,,25.436861038208008,93.404583,Debris,Slide,Near Daoblibdisa market,304,Daoblibdisa market slide No.4,AS/DIM/83G07/2017/58,Assam,397,"{""type"":""MultiPoint"",""coordinates"":[]}",273230,1353799882,secondary,,Nc-M-1,110.43624258681628
00000000000000000199,Dima Hasao,,25.4375,93.404444,Debris,Slide,Near Daoblibdisa market,307,Daoblibdisa market slide No.5,AS/DIM/83G07/2017/59,Assam,376,"{""type"":""MultiPoint"",""coordinates"":[]}",273230,1353799882,secondary,,Nc-M-1,42.71287391388952
0000000000000000009c,Dima Hasao,,25.118000030517575,93.01399993896484,Debris,Slide,NH-54 near Jatinga.,128,Silchar road slide.,AS/DIM/83G4/2015/11,Assam,621,"{""type"":""MultiPoint"",""coordinates"":[]}",26627,566144644,trunk,,NH27,11.691374439367559
0000000000000000014b,Dima Hasao,,25.309111,93.470694,Debris,Slide,Nchen–Ngaulong road section.,259,Nchen–Ngaulong slide No.3,AS/DIM/83G7/2017/6,Assam,1594,"{""type"":""MultiPoint"",""coordinates"":[]}",284995,1454785940,unclassified,,,20.047317863068578
00000000000000000008,Hailakandi,,24.479999542236328,92.48999786376952,Debris,Slide,Maneshwarpur,9,Maneshwarpur landslide,AS/HKN/83D07/2020/1,Assam,56,"{""type"":""MultiPoint"",""coordinates"":[]}",272039,1344646439,secondary,,Kj-M-15,1652.1984941881512
00000000000000000016,Hailakandi,,24.549999237060547,92.73999786376952,Debris,Slide,Dwarbond- Bilaipur road,21,Dwarbond- Bilaipur slide,AS/HKN/83D10/2020/1,Assam,56,"{""type"":""MultiPoint"",""coordinates"":[]}",24663,540997685,secondary,,CA-M-009,44.28494164757499
00000000000000000018,Hailakandi,,24.549999237060547,92.75,Debris,Slide,Purbanakshatila,23,Purbanakshatila slide 2,AS/HKN/83D10/2020/10,Assam,49,"{""type"":""MultiPoint"",""coordinates"":[]}",164486,1058892976,residential,,,57.132252464328076
00000000000000000015,Hailakandi,,24.540000915527344,92.62999725341795,Debris,Slide,Lalamukh village,20,Nubarnapur slide,AS/HKN/83D10/2020/11,Assam,49,"{""type"":""MultiPoint"",""coordinates"":[]}",217692,1131550098,residential,,,94.51230891840872
0000000000000000001e,Hailakandi,,24.6299991607666,92.73999786376952,Debris,Slide,BoroJalenga,28,BoroJalenga slide,AS/HKN/83D10/2020/2,Assam,71,"{""type"":""MultiPoint"",""coordinates"":[]}",159821,1058103858,track,,,314.8442254563485
00000000000000000011,Hailakandi,,24.520000457763672,92.52999877929688,Debris,Slide,Dinanathpur,16,Dinanathpur slide,AS/HKN/83D10/2020/3,Assam,68,"{""type"":""MultiPoint"",""coordinates"":[]}",216446,1131094881,unclassified,,,229.79057658282846
0000000000000000000c,Hailakandi,,24.510000228881836,92.70999908447266,Debris,Slide,Bilaipur,13,Barthal slide,AS/HKN/83D10/2020/5,Assam,34,"{""type"":""MultiPoint"",""coordinates"":[]}",39699,668630669,secondary,,,306.2596902108456
00000000000000000002,Hailakandi,,24.31999969482422,92.51000213623048,Debris,Slide,Nandagram Pt. I,3,Nandagram slide,AS/HKN/83D10/2020/6,Assam,81,"{""type"":""MultiPoint"",""coordinates"":[]}",13211,468690094,tertiary,,,1041.5552291301594
00000000000000000009,Hailakandi,,24.510000228881836,92.63999938964844,Debris,Slide,Nunaikhal,10,Kurttathal slide,AS/HKN/83D10/2020/7,Assam,60,"{""type"":""MultiPoint"",""coordinates"":[]}",39703,668630674,secondary,,,405.9246063948093
00000000000000000012,Hailakandi,,24.530000686645508,92.62999725341795,Debris,Slide,Lala Chaura Bagan,17,Lala Chaura Bagan slide,AS/HKN/83D10/2020/8,Assam,33,"{""type"":""MultiPoint"",""coordinates"":[]}",217717,1131551368,residential,,,196.05282838512886
00000000000000000017,Hailakandi,,24.549999237060547,92.75,Debris,Slide,Purbanakshatila,22,Purbanakshatila slide 1,AS/HKN/83D10/2020/9,Assam,49,"{""type"":""MultiPoint"",""coordinates"":[]}",164486,1058892976,residential,,,57.132252464328076
00000000000000000001,Hailakandi,,24.309999465942383,92.55999755859376,Debris,Slide,Jalnachaura,2,Jalnachaura slide,AS/HKN/83D11/2020/1,Assam,46,"{""type"":""MultiPoint"",""coordinates"":[]}",265079,1326364907,tertiary,,,184.1824897990992
00000000000000000006,Hailakandi,,24.459999084472656,92.5199966430664,Debris,Slide,Telecherra,7,Garapunjislide,AS/HKN/83D11/2020/2,Assam,104,"{""type"":""MultiPoint"",""coordinates"":[]}",11377,409869772,secondary,,,16.81180820765473
00000000000000000005,Hailakandi,,24.440000534057617,92.55999755859376,Debris,Slide,NH - 154,6,Lalpani slide,AS/HKN/83D11/2020/3,Assam,36,"{""type"":""MultiPoint"",""coordinates"":[]}",299298,1544639372,residential,,,327.317218227464
00000000000000000003,Hailakandi,,24.43000030517578,92.5500030517578,Debris,Slide,Mahapur,4,Nishkar slide,AS/HKN/83D11/2020/4,Assam,38,"{""type"":""MultiPoint"",""coordinates"":[]}",299310,1544639390,unclassified,,,112.94904425189694
0000000000000000030e,Jorhat,,26.56999969482422,94.3499984741211,Debris,Slide,NH702D,569,,AS/JOR/83J06/2020/17,Assam,183,"{""type"":""MultiPoint"",""coordinates"":[]}",5302,266780936,trunk,Mokokchung-Mariani Road,NH702D,306.651390929563
0000000000000000030a,Jorhat,,26.559999465942383,94.36000061035156,Debris,Slide,NH702D,565,,AS/JOR/83J06/2020/19,Assam,196,"{""type"":""MultiPoint"",""coordinates"":[]}",5302,266780936,trunk,Mokokchung-Mariani Road,NH702D,90.75536762803058
000000000000000002b1,Kamrup,,26.162500381469727,91.71443939208984,Debris,Flow,SH:AT Road,497,Kamakhaya Nursery,AS/KAM/78N12/2014/02,Assam,71,"{""type"":""MultiPoint"",""coordinates"":[]}",59353,808646875,residential,,,40.43914424078143
000000000000000002a4,Kamrup,,26.149444,91.7480010986328,Debris,Subsidence,Paltan Bazar-Lakhra road,487,Kalapahar,AS/KAM/78N12/2015/68,Assam,136,"{""type"":""MultiPoint"",""coordinates"":[]}",15769,507819347,residential,,,118.01964738550907
000000000000000002af,Kamrup,,26.159139,91.915583,Debris,Slide,Amchang Tea Garden,495,Amchang TG-2,AS/KAM/78N16/2015/72,Assam,101,"{""type"":""MultiPoint"",""coordinates"":[]}",80,44639622,secondary,,,4.701514595098882
0000000000000000027e,Kamrup,,26.102944,91.862111,Debris,Slide,"10th mile, Khanapara",460,10th mile,AS/KAM/78N16/2015/79,Assam,151,"{""type"":""MultiPoint"",""coordinates"":[]}",10777,395997750,trunk,NH37,NH27,15.047786073109913
00000000000000000266,Kamrup,,26.077653,91.982292,Debris,Slide,"Langdong, Kamrup",444,Langdong,AS/KAM/78N16/2015/86,Assam,190,"{""type"":""MultiPoint"",""coordinates"":[]}",234053,1140894893,unclassified,,,5.068490966739028
0000000000000000025c,Kamrup,,26.050286,91.880072,Debris,Slide,"Tanduk, Kamrup",436,Tanduk,AS/KAM/78N16/2015/87,Assam,74,"{""type"":""MultiPoint"",""coordinates"":[]}",173086,1076607067,unclassified,,,13.630179757238647
000000000000000001e0,Kamrup (Rural),,25.790000915527344,91.23999786376952,Debris,Slide,Boko-Lumpi road,347,Noth Lumpi slide,AS/KAM/78O5/2020/4,Assam,781,"{""type"":""MultiPoint"",""coordinates"":[]}",289639,1472521760,tertiary,,,277.33697230722134
000000000000000002a6,Kamrup,,26.153556,92.038694,Debris,Slide,"Sakauripara, Namghar, Kamrup",489,Sakauripara,AS/KAM/83B04/2015/112,Assam,87,"{""type"":""MultiPoint"",""coordinates"":[]}",229450,1139108175,unclassified,,,36.85656964689974
00000000000000000249,Kamrup,,26.04050064086914,92.0354995727539,Debris,Slide,Barkasarong,426,Barakasarong,AS/KAM/83B04/2018/3,Assam,236,"{""type"":""MultiPoint"",""coordinates"":[]}",173059,1076607028,unclassified,,,35.35275912094806
0000000000000000027a,Kamrup,,26.101749420166016,92.040222,Debris,Slide,"Barbitli to Tighira road, Kamrup",456,Tegheria,AS/KAM/83B4/2015/89,Assam,82,"{""type"":""MultiPoint"",""coordinates"":[]}",227115,1137161930,unclassified,,,1.1004481317093389
00000000000000000291,Kamrup,,26.112083435058594,92.091028,Debris,Slide,"2 no. Rabingaon, Kamrup",473,2no. Rabingaon,AS/KAM/83B4/2015/93,Assam,68,"{""type"":""MultiPoint"",""coordinates"":[]}",234658,1141856645,residential,,,2.869423544768508
00000000000000000267,Kamrup,,26.07780647277832,92.170389,Debris,Slide,"Tapatali, Nadighat, Kamrup",445,"Tapatali, Nadighat",AS/KAM/83B4/2015/94,Assam,79,"{""type"":""MultiPoint"",""coordinates"":[]}",258177,1300977481,track,,,4.677617014260756
0000000000000000026c,Kamrup,,26.083972,92.14524841308594,Debris,Slide,"Gharara-3, Kamrup",448,Gharara-3,AS/KAM/83B4/2015/96,Assam,76,"{""type"":""MultiPoint"",""coordinates"":[]}",257412,1296949264,unclassified,,,7.655837084737312
00000000000000000263,Kamrup,,26.065167,92.150639,Debris,Slide,"En-route Noonmati-2, Kamrup",442,Enroute Noonmati-2,AS/KAM/83B4/2015/97,Assam,90,"{""type"":""MultiPoint"",""coordinates"":[]}",257412,1296949264,unclassified,,,847.7858619194061
00000000000000000260,Kamrup,,26.061861038208008,92.147889,Debris,Slide,"En-route Noonmati-3, Kamrup",440,Enroute Noonmati-3,AS/KAM/83B4/2015/98,Assam,104,"{""type"":""MultiPoint"",""coordinates"":[]}",257412,1296949264,unclassified,,,741.2396473916544
000000000000000002dc,Karbi Anglong,,26.297778,93.211111,Debris,Slide,Samelangso-Langlangso road,528,Samelangso-Langlangso road slide-1,AS/KAR/83F03/2018/2,Assam,142,"{""type"":""MultiPoint"",""coordinates"":[]}",262811,1313338043,primary,,SH-017,5.527000915931366
000000000000000002db,Karbi Anglong,,26.297306060791016,93.211833,Debris,Slide,Samelangso-Langlangso road,527,Samelangso-Langlangso road slide-2,AS/KAR/83F03/2018/3,Assam,145,"{""type"":""MultiPoint"",""coordinates"":[]}",262811,1313338043,primary,,SH-017,3.5586282239843103
000000000000000002dd,Karbi Anglong,,26.298389,93.21624755859376,Debris,Slide,Samelangso-Langlangso road,529,Samelangso-Langlangso road slide-3,AS/KAR/83F03/2018/4,Assam,188,"{""type"":""MultiPoint"",""coordinates"":[]}",262811,1313338043,primary,,SH-017,13.301366061798271
000000000000000002de,Karbi Anglong,,26.30294418334961,93.225389,Debris,Slide,Samelangso-Langlangso road,530,Samelangso-Langlangso road slide-4,AS/KAR/83F03/2018/5,Assam,258,"{""type"":""MultiPoint"",""coordinates"":[]}",40014,669096128,primary,,SH-017,4.956725016171998
000000000000000002df,Karbi Anglong,,26.303333282470703,93.225694,Debris,Slide,Samelangso-Langlangso road,531,Samelangso-Langlangso road slide-4,AS/KAR/83F03/2018/6,Assam,261,"{""type"":""MultiPoint"",""coordinates"":[]}",40014,669096128,primary,,SH-017,0.1578890490597988
000000000000000002fb,Karbi Anglong,,26.483278274536133,93.181306,Debris,Slide,Anjukpani- Dumroi road,551,Anjukpani- Dumroi road slide,AS/KAR/83F03/2018/8,Assam,169,"{""type"":""MultiPoint"",""coordinates"":[]}",11639,423954151,service,,,0.256417888256683
000000000000000002fd,Karbi Anglong,,26.523500442504883,93.28166198730467,Debris,Slide,Paniramtokbi,553,Paniramtokbi slide,AS/KAR/83F06/2018/1,Assam,95,"{""type"":""MultiPoint"",""coordinates"":[]}",11623,423949715,tertiary,,,157.78157640976482
00000000000000000319,Karbi Anglong,,26.57719039916992,93.10008239746094,Debris,Slide,Bagori,577,Bagori quarry slide,AS/KAR/83F06/2018/2,Assam,76,"{""type"":""MultiPoint"",""coordinates"":[]}",179736,1106007087,track,,,140.06980172493948
0000000000000000031e,Karbi Anglong,,26.594160079956055,93.547361,Debris,Slide,Sapjuri-Dalamara road,582,Sapjuri-Dalamara road slide,AS/KAR/83F06/2018/3,Assam,162,"{""type"":""MultiPoint"",""coordinates"":[]}",11323,406200257,secondary,Dolamara Road,,19.830433449162086
0000000000000000031d,Karbi Anglong,,26.590410232543945,93.47615814208984,Debris,Slide,Diring,581,DiringLangso slide,AS/KAR/83F06/2018/4,Assam,130,"{""type"":""MultiPoint"",""coordinates"":[]}",11565,423879962,primary,,SH35;SH-1017,110.36623435565332
00000000000000000323,Karbi Anglong,,26.60275077819824,93.48407745361328,Debris,Slide,Panbari Parbat,587,Panbari Parbat slide,AS/KAR/83F06/2018/5,Assam,114,"{""type"":""MultiPoint"",""coordinates"":[]}",12069,430312369,service,,,9.438298541288836
0000000000000000031c,Karbi Anglong,,26.590110778808594,93.5746612548828,Debris,Slide,Bogaramtakbi-Notungaon road,580,Bogaramtakbi-Notungaon road slide,AS/KAR/83F10/2018/2,Assam,134,"{""type"":""MultiPoint"",""coordinates"":[]}",11324,406201748,tertiary,,,2.611513711908691
00000000000000000324,Karbi Anglong,,26.603580474853516,93.4810028076172,Debris,Slide,"BaburangTokbi, Dalamara area",588,BaburangTokbi slide,AS/KAR/83F10/2018/3,Assam,103,"{""type"":""MultiPoint"",""coordinates"":[]}",12068,430312367,unclassified,,,128.86798485813415
000000000000000002f0,Karbi Anglong,,26.347700119018555,93.73989868164062,Debris,Slide,Daigurung road,542,Nahor Langso-3,AS/KAR/83F11/2018/3,Assam,202,"{""type"":""MultiPoint"",""coordinates"":[]}",293705,1510270622,unclassified,,,2.0371370739540366
000000000000000002f5,Karbi Anglong,,26.356220245361328,93.77941131591795,Debris,Slide,Langsothedong,546,Langsothedong slide,AS/KAR/83F15/2018/4,Assam,206,"{""type"":""MultiPoint"",""coordinates"":[]}",285992,1459237398,tertiary,,,8.152603135661305
000000000000000001fd,Karbi Anglong,,25.84511947631836,93.56681823730467,Debris,Slide,DhansiriChiru Timung road,371,Hafjan Kidingpur5,AS/KAR/83G09/2017/10,Assam,260,"{""type"":""MultiPoint"",""coordinates"":[]}",201640,1127480441,unclassified,,,12.016882888324844
00000000000000000223,Karbi Anglong,,25.95513916015625,93.72997283935548,Debris,Slide,NH39,399,Gautam basti,AS/KAR/83G09/2017/11,Assam,177,"{""type"":""MultiPoint"",""coordinates"":[]}",273136,1353386467,tertiary,,,63.446353633372595
00000000000000000200,Karbi Anglong,,25.845409393310547,93.68312072753906,Debris,Slide,DiphuDimapur road,373,Nowgong1,AS/KAR/83G09/2017/18,Assam,177,"{""type"":""MultiPoint"",""coordinates"":[]}",182216,1122146840,trunk,,NH329A,5.628340730648091
00000000000000000210,Karbi Anglong,,25.85498046875,93.5663833618164,Debris,Slide,DhansiriChiru Timung road,384,Hafjan Kidingpur1,AS/KAR/83G09/2017/6,Assam,249,"{""type"":""MultiPoint"",""coordinates"":[]}",201640,1127480441,unclassified,,,11.913392186639737
0000000000000000020f,Karbi Anglong,,25.854869842529297,93.56582641601562,Debris,Slide,DhansiriChiru Timung road,383,Hafjan Kidingpur2,AS/KAR/83G09/2017/7,Assam,256,"{""type"":""MultiPoint"",""coordinates"":[]}",201640,1127480441,unclassified,,,9.799035956759903
0000000000000000020e,Karbi Anglong,,25.851890563964844,93.56632995605467,Debris,Slide,DhansiriChiru Timung road,382,Hafjan Kidingpur3,AS/KAR/83G09/2017/8,Assam,249,"{""type"":""MultiPoint"",""coordinates"":[]}",201640,1127480441,unclassified,,,6.492614743237292
0000000000000000020a,Karbi Anglong,,25.850719451904297,93.56681823730467,Debris,Slide,DhansiriChiru Timung road,379,Hafjan Kidingpur4,AS/KAR/83G09/2017/9,Assam,250,"{""type"":""MultiPoint"",""coordinates"":[]}",201640,1127480441,unclassified,,,8.920819062369908
0000000000000000030c,Nagaon,,26.56110954284668,93.04924774169922,Debris,Slide,Kalapani,567,Kalapani slide,AS/NAG/83F02/2018/1,Assam,114,"{""type"":""MultiPoint"",""coordinates"":[]}",157,44721466,trunk,,NH715,990.5199260903529
0000000000000000030f,Nagaon,,26.57411003112793,93.09810638427734,Debris,Slide,Phulaguri,570,Deosurgaon road slide.,AS/NAG/83F02/2018/3,Assam,89,"{""type"":""MultiPoint"",""coordinates"":[]}",182738,1124775206,unclassified,,,19.528559935294595
00000000000000000317,Nagaon,,26.574630737304688,93.11296844482422,Debris,Slide,NH-37,575,NH-37 slide-3,AS/NAG/83F02/2018/6,Assam,93,"{""type"":""MultiPoint"",""coordinates"":[]}",179839,1106884384,trunk,,NH715,0.998981116666073
00000000000000000310,Nagaon,,26.574359893798828,93.1064682006836,Debris,Slide,NH-37,571,NH-37 slide-4,AS/NAG/83F02/2018/7,Assam,116,"{""type"":""MultiPoint"",""coordinates"":[]}",179839,1106884384,trunk,,NH715,6.233104245700812
0000000000000000032c,Sonitpur,,26.926660537719727,92.73966217041016,Debris,Slide,Pogijuli area,596,Jarabari slide,AS/SON/83B09/2018/1,Assam,150,"{""type"":""MultiPoint"",""coordinates"":[]}",176098,1084996509,residential,,,1004.687273824621
00000000000000000339,Sonitpur,,26.96929931640625,92.63400268554688,Debris,Slide,Maltang,609,Mansiri River slide-1,AS/SON/83B09/2018/10,Assam,142,"{""type"":""MultiPoint"",""coordinates"":[]}",10556,389363502,unclassified,,,3603.5968092080807
0000000000000000033b,Sonitpur,,26.970409393310547,92.63436126708984,Debris,Slide,Maltang,611,Mansiri River slide-2,AS/SON/83B09/2018/11,Assam,130,"{""type"":""MultiPoint"",""coordinates"":[]}",10556,389363502,unclassified,,,3475.599352203744
0000000000000000033a,Sonitpur,,26.970130920410156,92.63362884521484,Debris,Slide,Maltang,610,Mansiri River slide-3,AS/SON/83B09/2018/12,Assam,132,"{""type"":""MultiPoint"",""coordinates"":[]}",10556,389363502,unclassified,,,3525.649181480942
0000000000000000033c,Sonitpur,,26.972888946533203,92.632833,Debris,Slide,Maltang,612,Mansiri River slide-4,AS/SON/83B09/2018/13,Assam,134,"{""type"":""MultiPoint"",""coordinates"":[]}",10556,389363502,unclassified,,,3260.280273198547
0000000000000000032e,Sonitpur,,26.93437957763672,92.72899627685548,Debris,Slide,Pogijuli area,598,Kamarilaka slide,AS/SON/83B09/2018/2,Assam,149,"{""type"":""MultiPoint"",""coordinates"":[]}",176427,1085003029,residential,,,1866.3657503346449
0000000000000000032f,Sonitpur,,26.935800552368164,92.70368957519533,Debris,Slide,Dopdopi,599,Dopdopi slide-1,AS/SON/83B09/2018/4,Assam,125,"{""type"":""MultiPoint"",""coordinates"":[]}",176366,1085001663,residential,,,2181.9126463923185
00000000000000000330,Sonitpur,,26.93585968017578,92.70440673828124,Debris,Slide,Ringkangpur,600,Ringkangpur slide-1,AS/SON/83B09/2018/5,Assam,140,"{""type"":""MultiPoint"",""coordinates"":[]}",176366,1085001663,residential,,,2156.803049823488
00000000000000000331,Sonitpur,,26.935970306396484,92.70455169677734,Debris,Slide,Ringkangpur,601,Ringkangpur slide-2,AS/SON/83B09/2018/6,Assam,140,"{""type"":""MultiPoint"",""coordinates"":[]}",176366,1085001663,residential,,,2161.9252815120353
00000000000000000332,Sonitpur,,26.936410903930664,92.7030792236328,Debris,Slide,Ringkangpur,602,Ringkangpur slide-3,AS/SON/83B09/2018/7,Assam,130,"{""type"":""MultiPoint"",""coordinates"":[]}",176366,1085001663,residential,,,2269.6549308215763
00000000000000000333,Sonitpur,,26.93819046020508,92.70401763916016,Debris,Slide,Ringkangpur,603,Ringkangpur slide-4,AS/SON/83B09/2018/8,Assam,133,"{""type"":""MultiPoint"",""coordinates"":[]}",176366,1085001663,residential,,,2408.3166964333714
00000000000000000334,Sonitpur,,26.93855094909668,92.70336151123048,Debris,Slide,Dopdopi,604,Dopdopi slide-2,AS/SON/83B09/2018/9,Assam,136,"{""type"":""MultiPoint"",""coordinates"":[]}",176366,1085001663,residential,,,2471.049684320056
0000000000000000032a,Sonitpur,,26.92215919494629,92.7677993774414,Debris,Slide,"Phuloguri, Chengelimari area.",594,Phuloguri slide,AS/SON/83B13/2018/1,Assam,139,"{""type"":""MultiPoint"",""coordinates"":[]}",175458,1084984469,unclassified,,,620.5891521636411
0000000000000000032b,Sonitpur,,26.923099517822266,92.76754760742188,Debris,Slide,"Phuloguri, Chengelimari area.",595,Hoha river slide,AS/SON/83B13/2018/2,Assam,154,"{""type"":""MultiPoint"",""coordinates"":[]}",175458,1084984469,unclassified,,,727.3036347039392
00000000000000000329,Sonitpur,,26.920879364013672,92.75933074951172,Debris,Slide,GaroBasti,593,GaroBasti slide,AS/SON/83B13/2018/3,Assam,147,"{""type"":""MultiPoint"",""coordinates"":[]}",176802,1085030493,residential,,,708.3256617289427
00000000000000000328,Sonitpur,,26.920129776000977,92.75994110107422,Debris,Slide,GaroBasti,592,"Howa River ,GaroBasti slide-2",AS/SON/83B13/2018/4,Assam,128,"{""type"":""MultiPoint"",""coordinates"":[]}",176802,1085030493,residential,,,647.9475552935553
00000000000000000327,Sonitpur,,26.917400360107425,92.7716293334961,Debris,Slide,GaroBasti,591,Nishi Phuloguri Howa River slide,AS/SON/83B13/2018/5,Assam,110,"{""type"":""MultiPoint"",""coordinates"":[]}",175458,1084984469,unclassified,,,116.74344064562013
00000000000000000338,Sonitpur,,26.952659606933594,93.44165802001952,Debris,Slide,Balijan forest road,608,Balijan forest road slide-1,AS/SON/83F05/2018/1,Assam,154,"{""type"":""MultiPoint"",""coordinates"":[]}",289678,1472939051,unclassified,,,8.516918012893369
00000000000000000337,Sonitpur,,26.950519561767575,93.45136260986328,Debris,Slide,Balijan forest road,607,Balijan forest road slide-2,AS/SON/83F05/2018/2,Assam,177,"{""type"":""MultiPoint"",""coordinates"":[]}",289678,1472939051,unclassified,,,9.375416223869081
00000000000000000336,Sonitpur,,26.949800491333008,93.45291137695312,Debris,Slide,Balijan forest road,606,Balijan forest road slide-3,AS/SON/83F05/2018/3,Assam,181,"{""type"":""MultiPoint"",""coordinates"":[]}",289678,1472939051,unclassified,,,17.521171254319533
00000000000000000335,Sonitpur,,26.94754981994629,93.257521,Debris,Slide,Upper Dikalmukh,605,Dising River slide,AS/SON/83F05/2018/4,Assam,125,"{""type"":""MultiPoint"",""coordinates"":[]}",3636,230015248,secondary,,,1992.6589652170717
00000000000000000495,Dima Hasao,,25.164400100708008,92.994643,Debris,Slide,Duiring,809,Duiring road slide,ASM/DH/83C16/2023-24/001,Assam,492,"{""type"":""MultiPoint"",""coordinates"":[]}",273290,1354171693,unclassified,,,2.4074025325454307
00000000000000000496,Dima Hasao,,25.170425415039062,92.989085,Debris,Slide,Duiring,810,Duiring road slide,ASM/DH/83C16/2023-24/002,Assam,637,"{""type"":""MultiPoint"",""coordinates"":[]}",273290,1354171693,unclassified,,,1.774562523352544
00000000000000000498,Dima Hasao,,25.362611770629883,93.216888,Debris,Slide,Kalachand,812,Kalachand-Bara Digar road slide 2,ASM/DH/83G03/2023-24/003,Assam,494,"{""type"":""MultiPoint"",""coordinates"":[]}",38661,667660368,secondary,,Nc-M-1,4.224932381360265
000000000000000003b1,Dima Hasao,,25.147220611572266,93.03128051757812,Debris,Slide,New Haflong Railway Station,689,New Haflong RS Slide 1,ASM/DH/83G04/2022-23/003,Assam,472,"{""type"":""MultiPoint"",""coordinates"":[]}",273359,1354189364,service,,,0.003327328119317708
000000000000000003c2,Dima Hasao (N.C. Hills),,25.19972222,93.01672222,Debris,Slide,"Lower Haflong,",699,Haflong-Gunjung road section slide-10,ASM/DH/83G4/PD/2016/39,Assam,418,"{""type"":""MultiPoint"",""coordinates"":[]}",10073,384539365,trunk,,NH627,5.476884887001108
000000000000000001ce,Dima Hasao,,25.569000244140625,92.7165298461914,Debris,Slide,Kopili road,336,Lumsajor (Kopili Power house road),ASM/DIM/83C10/2016/32,Assam,599,"{""type"":""MultiPoint"",""coordinates"":[]}",288532,1467466692,unclassified,,,5.538822274705324
000000000000000001cf,Dima Hasao,,25.57994079589844,92.72821807861328,Debris,Slide,Kopili road,337,S of Namghar (NEEPCO colony),ASM/DIM/83C10/2016/33,Assam,446,"{""type"":""MultiPoint"",""coordinates"":[]}",288532,1467466692,unclassified,,,1.71690441313381
00000000000000000000,Hailakandi,,24.270000457763672,92.5,Debris,Slide,Kukinala,1,Kukinala slide,ASM/HKN/83D07/2020/2,Assam,41,"{""type"":""MultiPoint"",""coordinates"":[]}",5604,284471752,trunk,,NH6,1796.7104499870472
000000000000000003a2,Kamrup (Metro),,26.145999908447266,91.75599670410156,Debris,Slide,"Power grid, Kahilipara",679,Kahilipara Slide,ASM/KAM/78N16/2020/001,Assam,95,"{""type"":""MultiPoint"",""coordinates"":[]}",55738,757263536,service,,,14.929488912599437
00000000000000000286,Nagaon,,26.107667,92.44003295898438,Debris,Slide,Amsoi- Amtrang road,466,Amsoi-Amtrang road slide No.16,ASM/NAG/83B08/2017/16,Assam,256,"{""type"":""MultiPoint"",""coordinates"":[]}",10067,384532054,trunk,,NH627,4.164321817681637
00000000000000000246,West Karbi Anglong,,26.036582946777344,92.27305603027344,Debris,Slide,Nellie - Umpanai-Umswai road,423,Nellie-Umswai road slide No.3,ASM/WKA/83B08/2017/36,Assam,201,"{""type"":""MultiPoint"",""coordinates"":[]}",38586,667517213,tertiary,,,14.948627417044696
00000000000000000243,West Karbi Anglong,,26.03274917602539,92.271861,Debris,Slide,Nellie - Umpanai-Umswai road,420,Nellie-Umswai road slide No.4,ASM/WKA/83B08/2017/37,Assam,189,"{""type"":""MultiPoint"",""coordinates"":[]}",30748,611187458,tertiary,,,15.369339273306831
00000000000000000221,West Karbi Anglong,,25.95380973815918,92.60443878173828,Debris,Slide,"SH-18, Baithalangso-Tika road",397,N of Langchar Terongaon,ASM/WKA/83C09/2016/10,Assam,319,"{""type"":""MultiPoint"",""coordinates"":[]}",30427,608658007,primary,Baithalangso Rd,SH18,13.160252817599865
000000000000000001f3,West Karbi Anglong,,25.82245826721191,92.546381,Debris,Slide,"SH-18, Hamren-Umpu road",361,S of Ambinong-3,ASM/WKA/83C09/2016/13,Assam,481,"{""type"":""MultiPoint"",""coordinates"":[]}",39893,669003585,primary,,SH18,12.286125519016501
000000000000000001f2,West Karbi Anglong,,25.82107925415039,92.54399871826172,Debris,Slide,"SH-18, Hamren-Umpu road",360,S of Ambinong-4,ASM/WKA/83C09/2016/14,Assam,457,"{""type"":""MultiPoint"",""coordinates"":[]}",39893,669003585,primary,,SH18,5.521183605110583
