sample_id,settlement_distance_m
1,8527.804783906795
2,2514.589434313537
3,8282.970230663661
4,4175.554053955753
5,735.5344107873159
6,15122.421017443605
7,9118.780236915147
8,6656.70977009552
9,10516.11078771898
10,11432.599266968928
11,3659.8929350357776
12,15110.792902849164
13,31890.28651407967
14,10120.009912332445
15,636.1418495508666
16,9307.896800301753
17,5633.284219242812
18,5864.748993428475
19,5636.71372657078
20,11073.707295624039
21,2819.550909309956
22,630.066949059841
23,16267.441664394653
24,8591.251771491956
25,955.0782678299361
26,12777.657885596936
27,21948.897048098155
28,8876.974532134398
29,13313.853509293642
30,15232.151249941826
31,3971.0622874003907
32,8513.407338308838
33,15404.985792607717
34,13347.690629138053
35,4866.888378016468
36,14301.305865884797
37,8819.727744171365
38,4099.128917267983
39,18515.326099907623
40,1330.4907272161188
41,7744.813997784146
42,942.1723671302951
43,8021.03761832589
44,5239.59802058942
45,2658.7350742880512
46,24622.14934772477
47,1291.7723305187546
48,5044.724098562016
49,6139.290297540714
50,14901.252336404339
51,737.559761245347
52,7831.191367011851
53,3669.740361079959
54,3604.0385692835316
55,2709.8592290027555
56,12227.402523493112
57,4786.53853388566
58,5445.666921463304
59,9497.962682851836
60,2590.43721214128
61,13219.018716006287
62,11445.181956125609
63,4340.735913761615
64,14648.62657655064
65,1074.6034030685767
66,2703.8214535466805
67,464.47210632187824
68,3315.6975487086834
69,2202.589069319584
70,3137.1552193228863
71,6970.371554580072
72,7774.664295438625
73,13074.272152443638
74,5719.671943603221
75,12637.685716172298
76,4069.986704697762
77,5412.72512941051
78,7022.621437765513
79,17472.15833050474
80,17057.3177565417
81,5180.201943664166
82,10501.00010946435
83,1162.1151883806651
84,4636.646550563913
85,1830.9394991954186
86,9459.65941356563
87,3312.209921565627
88,13739.972830904953
89,4078.3441495437824
90,6154.71114622454
91,3348.6157018070694
92,5244.218380357418
93,5843.562877410054
94,4789.771983762519
95,13630.802219086178
96,3825.8336856912274
97,7618.175591021481
98,6847.383366792714
99,3736.1254181690797
100,16969.919137171935
101,4636.365291848049
102,2113.564150362404
103,12794.151187353798
104,3192.201632751949
105,2513.6686168044607
106,14964.04946465511
107,1592.946504645269
108,13714.323819689755
109,14507.545792801078
110,19945.921519440024
111,1271.7292741873152
112,2843.4232034494007
113,10006.03161603121
114,14732.952250910183
115,3542.902681911372
116,7169.712838337101
117,2104.3643929829045
118,14790.245105434113
119,5901.245772241959
120,22948.368407187063
121,6248.172495762041
122,3315.1726146019105
123,2372.825227013119
124,4474.597577815201
125,8833.368791930017
126,22392.812230975756
127,714.9562941870934
128,6906.52002120407
129,12227.068731466268
130,2762.5215027709655
131,2280.5981691870106
132,6340.330481136794
133,1152.9085607823715
134,4584.7863772975215
135,18173.35585177023
136,4504.21267536656
137,10096.973430492892
138,12673.488959189992
139,1397.458513555195
140,19695.301272592344
141,13820.652159102317
142,3764.9141389682754
143,13787.285442549915
144,14276.500792047309
145,6564.45938631203
146,12507.879931790347
147,7354.837761868025
148,3580.31071822112
149,4037.0398823361356
150,8547.761417484498
151,13616.997956514948
152,2193.190727816904
153,8408.35989383541
154,5777.506866584103
155,5512.764995310026
156,1860.8078967916756
157,3597.369389268516
158,322.6229740777711
159,22284.537313814497
160,2145.5655118582104
161,10160.4458594743
162,22950.903703765005
163,3114.042898158213
164,3128.014577419171
165,2269.3009135780862
166,7045.568033774
167,1808.5385485521601
168,27319.052102337802
169,4998.534577650602
170,4550.352078900465
171,3609.242915825059
172,3438.601744281522
173,4390.5716914179475
174,7001.04857140718
175,7464.965026305355
176,10830.6669939855
177,5714.747120649389
178,2817.993730617908
179,5931.194668744245
180,11144.707571501387
181,4146.327891412439
182,9503.69724601273
183,4837.0107672173035
184,25284.751410275527
185,16317.00388872105
186,4878.3974305412
187,1342.9989357540699
188,8553.098477499747
189,4606.510851528857
190,14731.329062482533
191,3723.0345849090218
192,4401.038867634463
193,35141.503879854194
194,3155.5450323841796
195,9140.293088618188
196,7811.00612744965
197,11971.033401721801
198,1968.5386513238122
199,13116.477669780297
200,10317.135110885478
201,5885.122803713968
202,3557.0197377228537
203,2928.9583563727883
204,12839.87373563292
205,8031.160547906613
206,2932.3780486319906
207,14432.085736880716
208,1084.1849594646756
209,13561.773671612253
210,5166.267476889429
211,11840.738306541876
212,6694.833955047727
213,1832.4045295539006
214,6229.4598398249855
215,5800.571402457366
216,2264.057407900408
217,2855.71226373797
218,2144.360343188652
219,8871.282731945816
220,6786.551382904004
221,34551.85855930759
222,9371.894945041371
223,917.6085211632956
224,4087.2767087872194
225,2296.879586663304
226,7588.72328791769
227,695.0983292086077
228,1895.0692845795502
229,6727.966605619612
230,8321.86263765923
231,3569.8586393881274
232,6946.251647202922
233,3109.4633999943912
234,1971.0674859190042
235,1929.4099224571848
236,3236.1007926482994
237,17798.277717943554
238,18861.322987663672
239,4136.417627797635
240,6372.080907321723
241,4303.937214853679
242,9232.168894387563
243,1515.7819036607796
244,8969.353169047492
245,3770.151692157103
246,1508.5259513971819
247,14242.406469098078
248,6283.274119484133
249,6691.973219160184
250,28169.809808199094
251,5793.677651565944
252,7209.945033539682
253,8108.198199623238
254,7426.819574932148
255,7270.417090949082
256,13192.800824988597
257,12321.945253779477
258,1450.4906856861717
259,9216.976356671596
260,8984.685330445818
261,930.27342829129
262,14865.45392917653
263,8737.606136754286
264,8920.387466966058
265,13821.14512123023
266,19706.96921282294
267,6385.743416229694
268,7589.425545129265
269,2713.3229492040045
270,7012.981490732245
271,23918.041194547466
272,7177.40192877981
273,3582.4755105941517
274,3290.971593416521
275,6064.585982265753
276,14027.956909257624
277,7582.163589065023
278,3642.5908333373122
279,20784.728319962913
280,3838.9264906264048
281,26059.175484263826
282,10755.425771510607
283,2904.9601590487446
284,12248.33380090929
285,4894.644118311183
286,9929.525604584092
287,732.1710098646864
288,7297.524914700052
289,9407.561482600262
290,22009.658313954533
291,2115.478496817913
292,31547.037274237642
293,2852.515850342287
294,3692.596585800068
295,1320.3381498946508
296,958.3189106571406
297,13935.599345186236
298,3462.3951112209047
299,8679.969367058042
300,1556.6432285015048
301,10123.688508149296
302,20734.268101663085
303,8487.865548983373
304,8093.608548752491
305,5966.993659732376
306,1917.8410190503873
307,5687.701989781639
308,8962.842918564442
309,4471.095580169206
310,15512.132801052281
311,10920.798378212217
312,3444.176147540872
313,3520.179738878435
314,14842.9723351297
315,2224.6530288316785
316,23132.993614635783
317,7284.658521623485
318,5890.363775201713
319,1573.9699849495844
320,1366.0173785892166
321,5129.62003099411
322,4227.172480236467
323,10660.733877843513
324,5664.983195184663
325,5844.735118766575
326,1634.179117742925
327,4910.706264778898
328,6274.864346118359
329,21901.577077058853
330,1997.9594433986151
331,4405.165689108532
332,1823.6774195859923
333,3956.664499576972
334,9801.64172364797
335,2339.053812952728
336,559.4383886479264
337,57.74742747926763
338,7977.706894155752
339,3546.613996076766
340,2545.9568251725163
341,5821.21674020424
342,1864.694126685346
343,4550.3678419941
344,2476.791887843833
345,3980.8039209845756
346,6644.095078570511
347,20455.82363779515
348,4057.548437148708
349,16105.266540613917
350,3125.9164354014783
351,11844.222206639512
352,4386.297497036345
353,13123.676420780512
354,6343.9124409672795
355,10991.112383046891
356,7706.088062246854
357,8297.260466667964
358,3207.2376186318943
359,2633.525332835116
360,2261.1388127682458
361,1443.562932347736
362,12227.52131460722
363,7154.007589241214
364,9915.296722324416
365,3609.501397227271
366,1170.7962612392232
367,6368.191705793573
368,14089.946817404894
369,9144.136215307863
370,4661.293053446337
371,12233.365926079412
372,4153.972239409261
373,1322.7347998989983
374,6126.486004562619
375,4455.386340563357
376,1724.4960071008888
377,1437.3702003709718
378,6389.160761876697
379,2753.436675585119
380,15770.702524393884
381,19553.572625477453
382,6023.787488260915
383,1633.6408823539716
384,9082.369202883414
385,9381.42260623402
386,3385.2561824395298
387,1496.8783108091984
388,3124.716544433918
389,3176.226384023188
390,3004.570473826101
391,23358.37016704068
392,2881.854865832347
393,1019.8100548849357
394,7479.732672985022
395,1548.2024010400992
396,843.3393560351909
397,2670.6777618875985
398,6588.698478104922
399,6113.098650204834
400,1836.175438166503
401,13716.340677315453
402,36769.07993155794
403,3194.0241165095886
404,4346.4585594731425
405,10743.475358835796
406,6287.667853940527
407,3014.174430970218
408,318.63225126420997
409,8147.089074910541
410,16127.819384867744
411,24967.184372089585
412,14670.74908445606
413,7586.977576946686
414,8341.463771195049
415,17460.202517114
416,8248.908278288574
417,11029.621006607958
418,5806.963909038941
419,3480.1784218406065
420,7156.329819035565
421,5396.536456890646
422,1209.2112420763485
423,1111.1500373609938
424,15683.505594857032
425,13885.820836513572
426,7480.885845631418
427,4574.417887649011
428,4794.558580777869
429,11426.356945586818
430,8169.8018265832425
431,9429.545581318655
432,6100.317606879525
433,12057.675183661971
434,247.4211004853198
435,21693.69410720344
436,4769.8151142673205
437,5113.657071572546
438,877.0315894518985
439,2263.952543737389
440,7410.6005369228
441,29061.571608080292
442,12325.961071523334
443,6250.961768633571
444,4856.458577743161
445,5886.986133922222
446,4466.500401641091
447,22631.79359863159
448,29770.05702413694
449,7377.877790780891
450,15539.37439662908
451,7908.720384482559
