system:index,aspect_deg,clay_surface_pct,elevation_m,label,lulc_class,sample_id,sample_type,slope_deg,state,.geo
00000000000000000025_0,154,14,4346,0,30,38,background,51,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.17227929316363,27.712935862829262]}"
00000000000000000026_0,153,28,1016,0,10,39,background,36,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.0851518591677,27.500035140492933]}"
00000000000000000027_0,29,29,815,0,10,40,background,36,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.25179391865373,26.919004814724424]}"
00000000000000000028_0,7,28,965,0,10,41,background,25,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.42462063075465,27.105225573122404]}"
00000000000000000029_0,348,26,901,0,10,42,background,35,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.57796304975386,28.115830267756866]}"
0000000000000000002a_0,204,24,1598,0,10,43,background,34,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.81297605092504,27.812109870196053]}"
0000000000000000002b_0,234,18,3481,0,10,44,background,28,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.98562767425096,28.57451005182829]}"
0000000000000000002c_0,193,25,1808,0,10,45,background,39,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.07706702161062,28.252194527886207]}"
0000000000000000002d_0,78,-9999,5102,0,70,46,background,4,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.08561016537345,29.36951907827407]}"
0000000000000000002e_0,152,22,2619,0,30,47,background,33,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[91.70551467153513,27.559862938415293]}"
0000000000000000002f_0,131,24,191,0,80,48,background,1,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.7085872406285,28.135233877893846]}"
00000000000000000030_0,259,27,1031,0,10,49,background,19,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[96.43352767491297,27.375798136699203]}"
00000000000000000031_0,346,-9999,4583,0,60,50,background,34,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.25070221746722,27.83825084496393]}"
00000000000000000032_0,80,22,1601,0,10,51,background,37,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[93.26750528756213,27.702425574005062]}"
00000000000000000033_0,0,19,3177,0,10,52,background,45,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[95.42696539905705,28.574779546413527]}"
00000000000000000034_0,246,16,2277,0,10,53,background,27,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.57948561145497,27.49087232459491]}"
00000000000000000035_0,147,24,3206,0,10,54,background,27,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[92.19761178417576,27.20736402092679]}"
00000000000000000036_0,98,28,1415,0,10,55,background,14,arunachal pradesh,"{""geodesic"":false,""type"":""Point"",""coordinates"":[94.43064391744008,28.110440376052146]}"
