system:index,District,Latitude,Longitude,SlNo,State,event_date,rainfall_15d_mm,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,.geo
00000000000000000005,Kamrup,26.14988889,91.77394444,793,Assam,2025-04-24,100.42499750014395,3.56999983265996,16.434999372810125,33.994999004527926,"{""type"":""Point"",""coordinates"":[91.77394444,26.14988889]}"
00000000000000000007,Kamrup,26.12911111,91.74911111,795,Assam,2012-06-18,360.31999117694795,7.034999795258045,77.35999818891287,189.39499564655125,"{""type"":""Point"",""coordinates"":[91.74911111,26.129111109999997]}"
00000000000000000008,Kamrup,26.15333333,91.77711111,796,Assam,2012-06-18,360.31999117694795,7.034999795258045,77.35999818891287,189.39499564655125,"{""type"":""Point"",""coordinates"":[91.77711111,26.15333333]}"
00000000000000000009,Kamrup,26.15052778,91.72766667,797,Assam,2012-06-20,341.47499166987836,53.99999835342169,61.03499814867973,219.85499460808933,"{""type"":""Point"",""coordinates"":[91.72766667,26.150527780000004]}"
0000000000000000004c,Kamrup,25.757752,91.252285,842,Assam,2014-07-10,321.00399205926806,18.154999469406903,122.8099974123761,129.89499727264047,"{""type"":""Point"",""coordinates"":[91.252285,25.757752]}"
0000000000000000004e,Kamrup,26.2272613,91.6922458,845,Assam,2008-12-19,0.0,0.0,0.0,0.0,"{""type"":""Point"",""coordinates"":[91.6922458,26.227261300000002]}"
0000000000000000004f,Kamrup,26.246980667114254,91.964383,847,Assam,2025-06-28,192.13999552000314,12.769999653100967,14.964999601244926,76.5299980500713,"{""type"":""Point"",""coordinates"":[91.964383,26.246980667114254]}"
0000000000000000006b,Kamrup,26.158193,91.755807,800,Assam,2025-05-30,347.549992473796,154.9149961490184,182.36999612208456,232.10499528050423,"{""type"":""Point"",""coordinates"":[91.755807,26.158193]}"
0000000000000000006d,Kamrup,26.11266708374023,91.853889,474,Assam,2018-08-17,189.23999556992203,10.124999596737325,30.274998889304698,120.01499691139907,"{""type"":""Point"",""coordinates"":[91.853889,26.11266708374023]}"
000000000000000001bd,Kamrup,26.16618537902832,91.7146987915039,801,Assam,2025-05-28,228.16499599069357,27.45499997306615,50.16499966196716,91.12999882828444,"{""type"":""Point"",""coordinates"":[91.7146987915039,26.16618537902832]}"
