sample_id,road_distance_m
1,11776.171171043437
2,104.33032395796351
3,5992.842992156713
4,3346.131194538771
5,169.922560869005
6,14952.081973436936
7,3026.403885392665
8,3925.4304894590787
9,16682.79240056872
10,14320.366158855133
11,3298.387909592523
12,743.2593005232644
13,7115.735693616963
14,11897.567561643102
15,3139.634789636156
16,6248.661152535406
17,4206.075077856671
18,79.63280926401468
19,2026.243150925444
20,10864.771733782527
21,1045.0481943836087
22,2218.8486372045136
23,15512.276979283333
24,7390.034363189971
25,408.81320573067717
26,6642.196026542279
27,21368.343549844463
28,9986.48939087245
29,13355.888067810884
30,14868.123589332738
31,6181.900627302884
32,7315.4168824800045
33,14480.825834154974
34,10411.447088735984
35,3941.149501192671
36,10049.668960712645
37,7879.545146649557
38,4111.497951994714
39,10899.904291758823
40,968.4016729706982
41,7590.8409161485715
42,8205.149510929263
43,4212.112795937266
44,7055.655807947611
45,2087.28254995087
46,23885.792853581774
47,731.0180158949801
48,887.4508768172572
49,7948.113016707921
50,1705.2661110070133
51,1503.4644680713957
52,7249.506529795574
53,7813.7995421312
54,2706.1374588419712
55,2870.1882464744526
56,10870.21134494289
57,4895.177014756969
58,5169.415616857777
59,13649.95403739681
60,1553.2274528336443
61,15630.400116804445
62,1442.1266556203152
63,2501.524830507686
64,5639.462381272141
65,830.2030506699928
66,840.754697395682
67,40.20370193779574
68,3400.88488526112
69,1195.3871721273779
70,1546.4874244613043
71,6955.430723960259
72,7681.88501523063
73,17570.368118365222
74,9138.93940496614
75,5057.295143379709
76,4137.3927623881455
77,4953.9961974457265
78,5211.533755102347
79,12336.018687151822
80,17091.410240127214
81,12791.518455805779
82,10705.12619125317
83,10874.885864275928
84,4182.568312214546
85,122.85573870482642
86,9209.441574385459
87,4573.658118146651
88,15480.494572895084
89,1820.8650013825768
90,1929.0935408942962
91,4197.986199479481
92,8455.54777669875
93,4824.5060548917
94,6775.656448843584
95,3135.2657561996443
96,2481.6329533793596
97,7651.942532787712
98,20496.454883177656
99,660.8436633653516
100,12439.59609807795
101,2846.089484560595
102,829.4243586678975
103,11296.460508954058
104,2279.245241740629
105,543.5263696925554
106,18457.22561267563
107,2527.8240399454517
108,16735.35119253631
109,14790.553538710941
110,17089.974356959665
111,235.89161072143077
112,1796.2402177337694
113,3785.4002871056814
114,13365.383888640903
115,986.2237500453581
116,6970.956947194961
117,2157.064444548194
118,7396.50246084689
119,5354.928576410505
120,19224.75425210669
121,8029.244581981653
122,2426.220812407391
123,10317.160097064261
124,4552.908558443389
125,7101.024062027235
126,16629.049402595807
127,267.07445528571844
128,13194.20503645793
129,6683.01403119612
130,1498.3224997664358
131,7231.105738601023
132,6167.499343742644
133,517.9473475325703
134,12620.561040445402
135,14176.324280323262
136,1529.5347023690056
137,8511.905794618075
138,5092.42019495301
139,1949.2266862059978
140,18563.508034095186
141,9940.309354856492
142,735.8830879309128
143,13716.36301194783
144,6225.704461016374
145,7794.590400519112
146,1142.754250282679
147,9296.811905605191
148,3647.4951416767058
149,505.9375590675441
150,8213.052095021185
151,12609.112474475249
152,1198.846720218793
153,6246.755246175172
154,4937.164741463771
155,5495.9763826783155
156,1706.3638613332187
157,2191.4361775480934
158,918.9629498644613
159,16138.29748207985
160,1654.0107905521227
161,933.8833417470642
162,10995.148543079189
163,2862.557944495363
164,1017.8453320223068
165,646.1521614780663
166,4172.042218161816
167,2672.7473431489343
168,3523.2103180132044
169,4517.980421262418
170,989.7546499505213
171,3142.1190123991482
172,1625.6186129832304
173,3880.4023122952526
174,6381.336478079922
175,9993.463617402691
176,10830.511937791953
177,4239.127885132283
178,696.8327160600978
179,6121.247945084859
180,10609.225450718517
181,3099.5705265414726
182,8094.899475003651
183,4941.274806879417
184,21475.445991784094
185,15509.242979328794
186,4678.251484128988
187,272.57833193129943
188,7107.809164953124
189,9429.192714102044
190,8804.097026761685
191,5088.689965323343
192,4841.258089772508
193,31158.48108168417
194,4522.121416573778
195,4992.581797417349
196,8412.615109959987
197,11739.077709610832
198,1809.7646462700102
199,15214.781797909653
200,3124.9985003601832
201,3892.0012887339817
202,1052.34049380368
203,1810.345439057466
204,3306.5804796053094
205,5867.131686068733
206,4311.873144088835
207,17206.12881264387
208,59.11685981251763
209,4923.454439437178
210,4443.13140391839
211,10430.283427674325
212,5560.002072103283
213,1161.8702162625736
214,5964.7644116169195
215,4375.248727343737
216,7803.414216063547
217,2665.685388488597
218,537.4531149103976
219,9151.17576166219
220,1457.5081488411913
221,15339.718337938964
222,8708.91509691213
223,834.7285017019306
