system:index,District,Latitude,Longitude,SlNo,State,event_date,rainfall_15d_mm,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,.geo
0000000000000000008a,Kamrup (Metro),26.191600799560547,91.8036117553711,776,Assam,2022-06-16,681.9924861947075,268.7649957537651,510.45499021280557,600.2849879311398,"{""type"":""Point"",""coordinates"":[91.8036117553711,26.19160079956054]}"
0000000000000000008b,Kamrup (Metro),26.17672222,91.76525115966795,762,Assam,2017-06-13,246.7104946197942,137.6549969986081,171.8449961366132,176.13999612256885,"{""type"":""Point"",""coordinates"":[91.76525115966795,26.176722220000002]}"
0000000000000000008c,Kamrup (Metro),26.15805556,91.71258333,731,Assam,2019-07-16,414.60548937972635,39.47499945759773,67.11999863013625,211.8299951069057,"{""type"":""Point"",""coordinates"":[91.71258333,26.15805556]}"
0000000000000000008d,Kamrup (Metro),26.19236111,91.78080556,730,Assam,2019-07-10,432.360488332808,114.39999708533287,181.96999527979642,238.03999425005168,"{""type"":""Point"",""coordinates"":[91.78080556,26.19236111]}"
0000000000000000008e,Kamrup (Metro),26.19330556,91.77725219726562,773,Assam,2020-06-28,355.4099920708686,78.32999853231013,191.24999577738345,248.3199945082888,"{""type"":""Point"",""coordinates"":[91.77725219726562,26.19330556]}"
0000000000000000008f,Kamrup (Metro),26.177560806274418,91.7658920288086,504,Assam,2017-06-13,246.7104946197942,137.6549969986081,171.8449961366132,176.13999612256885,"{""type"":""Point"",""coordinates"":[91.7658920288086,26.177560806274418]}"
00000000000000000090,Kamrup (Metro),26.154279708862305,91.79264068603516,490,Assam,2017-06-13,246.7104946197942,137.6549969986081,171.8449961366132,176.13999612256885,"{""type"":""Point"",""coordinates"":[91.79264068603516,26.15427970886231]}"
00000000000000000091,Kamrup (Metro),26.176719665527344,91.76525115966795,503,Assam,2017-06-13,246.7104946197942,137.6549969986081,171.8449961366132,176.13999612256885,"{""type"":""Point"",""coordinates"":[91.76525115966795,26.176719665527344]}"
000000000000000001f1,Kamrup (Metro),26.1505375,91.72798139,488,Assam,2023-06-17,360.60499145742506,110.80499789491296,253.2799943499267,320.21499237045646,"{""type"":""Point"",""coordinates"":[91.72798139,26.1505375]}"
000000000000000001f5,Kamrup (Metro),26.19622039794922,91.76335906982422,519,Assam,2011-03-23,129.52499698475003,0.0,35.39999961853027,99.61499837320298,"{""type"":""Point"",""coordinates"":[91.76335906982422,26.196220397949215]}"
000000000000000001fa,Kamrup (Metro),26.193220138549805,91.77033233642578,777,Assam,2022-06-16,739.0254831593484,267.4449936002493,569.3099876036867,658.7399856140837,"{""type"":""Point"",""coordinates"":[91.77033233642578,26.1932201385498]}"
000000000000000001fc,Kamrup (Metro),26.19244444,91.76422222,729,Assam,2016-07-20,347.5099938493222,30.449999302625656,58.28999869991094,178.959996487014,"{""type"":""Point"",""coordinates"":[91.76422222,26.19244444]}"
000000000000000001fd,Kamrup (Metro),26.09150556,91.87898611,774,Assam,2020-07-12,429.77049052901566,54.1199988508597,140.8499969029799,238.41999511048198,"{""type"":""Point"",""coordinates"":[91.87898611,26.09150556]}"
