SlNo,State,District,event_date,susceptibility_probability,rainfall_probability
632,Assam,Dima Hasao,2022-05-14,0.93,0.942585767925054
633,Assam,Dima Hasao,2022-05-14,1.0,0.942585767925054
624,Assam,Dima Hasao,2022-05-14,0.9933333333333333,0.942585767925054
787,Assam,Dima Hasao,2022-05-14,0.9966666666666667,0.942585767925054
779,Assam,Dima Hasao,2022-05-14,0.93,0.942585767925054
647,Assam,Dima Hasao,2022-05-14,0.9866666666666667,0.942585767925054
640,Assam,Dima Hasao,2022-05-14,0.9833333333333333,0.942585767925054
666,Assam,Dima Hasao,2022-05-14,0.92,0.942585767925054
649,Assam,Dima Hasao,2022-05-14,0.99,0.942585767925054
664,Assam,Dima Hasao,2022-05-15,1.0,0.9493960691417876
623,Assam,Dima Hasao,2022-05-15,0.93,0.9540282564777223
785,Assam,Dima Hasao,2022-05-15,0.88,0.9540282564777223
655,Assam,Dima Hasao,2022-05-15,0.9833333333333333,0.9540282564777223
667,Assam,Dima Hasao,2022-05-15,0.9,0.9540282564777223
642,Assam,Dima Hasao,2022-05-15,0.8866666666666667,0.9540282564777223
778,Assam,Kamrup (Metro),2022-06-17,0.8666666666666667,0.998882626609267
804,Assam,Kamrup,2025-05-31,0.9966666666666667,0.8334615806441971
799,Assam,Kamrup,2025-05-31,0.7633333333333333,0.872483807992427
846,Assam,Kamrup (Metro),2025-05-31,0.7466666666666667,0.872483807992427
850,Assam,Dima Hasao,2025-06-05,1.0,0.38198290365920207
849,Assam,Dima Hasao,2025-06-05,0.9766666666666667,0.38198290365920207
803,Assam,Kamrup,2025-06-05,0.8766666666666667,0.5094679615127421
848,Assam,Kamrup (Metro),2025-06-05,0.74,0.39506892736181504
19559,Manipur,Bishnupur,2024-08-01,1.0,0.8306993442673956
19560,Manipur,Bishnupur,2024-08-02,0.96,0.7889627168621219
18354,Manipur,Chandel,2007-09-07,0.94,0.8522194153127738
19217,Manipur,Kangpokpi,2017-06-04,0.97,0.5735801968800697
18904,Manipur,Noney,2018-06-06,1.0,0.26120003118466045
19578,Manipur,Ri-Bhoi,2011-06-26,0.9833333333333333,0.6017150078379654
19515,Manipur,Senapati,2007-09-09,0.8833333333333333,0.5386736096245073
19575,Manipur,TAMENGLONG,2011-05-31,0.8,0.8708971557218177
19576,Manipur,TAMENGLONG,2011-07-06,0.99,0.6402928525708531
18716,Manipur,Tamenglong,2007-06-16,0.75,0.6400663195332507
19582,Manipur,Tamenglong,2010-06-08,0.87,0.9889553516766478
19583,Manipur,Tamenglong,2010-06-08,0.9933333333333333,0.9889553516766478
19584,Manipur,Tamenglong,2010-03-28,0.8766666666666667,0.30382835202846453
18803,Manipur,Tamenglong,2008-06-19,1.0,0.2425005734224341
18759,Manipur,Tamenglong,2008-07-01,0.8766666666666667,0.4494951024281927
18718,Manipur,Tamenglong,2007-09-10,0.7633333333333333,0.5194884743982442
18997,Manipur,Tamenglong,2007-08-24,0.92,0.22114562124774126
18988,Manipur,Tamenglong,2018-06-22,0.7666666666666667,0.6120087311433644
19558,Manipur,Tamenglong,2024-07-29,0.8566666666666667,0.8369703837487588
18802,Manipur,Tamenglong,2007-09-12,1.0,0.2631297851721903
19123,Manipur,Tamenglong,2018-07-11,0.9966666666666667,0.30453139670484664
18701,Manipur,Tengnoupal,2018-08-02,0.7166666666666667,0.4663593730001652
18986,Manipur,Ukhrul,2018-06-12,0.9833333333333333,0.9979412698805082
19020,Manipur,Kangpokpi,2007-08-28,0.9733333333333334,0.4187806123096136
19019,Manipur,Tamenglong,2007-08-28,0.8766666666666667,0.3766205925136759
19016,Manipur,Tamenglong,2007-08-28,0.9333333333333333,0.5463604730908486
19011,Manipur,Tamenglong,2007-08-28,0.97,0.3766205925136759
19012,Manipur,Tamenglong,2007-08-28,0.97,0.3766205925136759
19017,Manipur,Ukhrul,2007-08-28,0.9833333333333333,0.6156320707345778
19600,Manipur,Noney,2025-05-31,0.9766666666666667,0.9792798587479699
19601,Manipur,Noney,2025-06-05,0.9966666666666667,0.4740328166110151
20504,Meghalaya,East Jaintia Hills,2025-05-11,0.9966666666666667,0.1587215082476358
19658,Meghalaya,East Jaintia Hills,2018-05-07,0.9966666666666667,0.22809426249667264
20511,Meghalaya,East Khasi Hills,2010-08-27,0.8366666666666667,0.3275775029336369
20512,Meghalaya,East Khasi Hills,2010-06-28,0.9966666666666667,0.9103631973219634
20513,Meghalaya,East Khasi Hills,2010-06-28,1.0,0.8302690994571013
20514,Meghalaya,East Khasi Hills,2010-06-28,0.95,0.9103631973219634
20488,Meghalaya,East Khasi Hills,2024-10-04,0.9666666666666667,0.4009475581408214
20613,Meghalaya,East Khasi Hills,2024-07-01,1.0,0.9928942258753345
20612,Meghalaya,East Khasi Hills,2024-07-01,0.9933333333333333,0.9928942258753345
20391,Meghalaya,East Khasi Hills,2007-09-15,0.99,0.36390712162496225
20581,Meghalaya,East Khasi Hills,2022-06-15,0.9133333333333333,0.9963020057181264
20582,Meghalaya,East Khasi Hills,2022-06-15,0.9166666666666666,0.9963020057181264
20583,Meghalaya,East Khasi Hills,2022-06-15,0.91,0.9963020057181264
19885,Meghalaya,East Khasi Hills,2024-05-30,0.75,0.9712429266056398
20587,Meghalaya,East Khasi Hills,2022-04-04,1.0,0.364933836786877
20588,Meghalaya,East Khasi Hills,2022-04-04,0.9933333333333333,0.364933836786877
20547,Meghalaya,East Khasi Hills,2019-06-27,0.9733333333333334,0.9577972002030082
20548,Meghalaya,East Khasi Hills,2019-06-27,0.9866666666666667,0.9577972002030082
20551,Meghalaya,East Khasi Hills,2019-06-27,0.97,0.9253585127880909
19902,Meghalaya,East Khasi Hills,2009-06-29,0.9933333333333333,0.39814404557749544
20204,Meghalaya,East Khasi Hills,2007-09-08,0.7866666666666666,0.9778263407010421
20231,Meghalaya,East Khasi Hills,2014-09-23,0.91,0.9891265663739055
19895,Meghalaya,East Khasi Hills,2022-04-04,0.99,0.6527634527398795
20550,Meghalaya,East Khasi Hills,2019-06-27,0.9966666666666667,0.9253585127880909
20656,Meghalaya,East Khasi Hills,2025-08-19,0.9133333333333333,0.4027387258571017
20542,Meghalaya,East Khasi Hills,2019-07-10,0.9766666666666667,0.9845432218521847
20293,Meghalaya,East Khasi Hills,2024-05-27,0.89,0.8146950127878891
20638,Meghalaya,Eastern-West Khasi Hill,2024-08-06,0.9733333333333334,0.32817543993973236
20647,Meghalaya,Eastern-West Khasi Hill,2025-06-11,0.96,0.2707788359280451
20648,Meghalaya,Eastern-West Khasi Hill,2025-06-11,0.9566666666666667,0.381970194364736
20649,Meghalaya,Eastern-West Khasi Hill,2024-05-29,0.6666666666666666,0.6452083821209342
20651,Meghalaya,Eastern-West Khasi Hill,2024-05-29,0.94,0.6452083821209342
20621,Meghalaya,Eastern-West Khasi Hill,2025-07-02,0.9933333333333333,0.383494990548327
20635,Meghalaya,Eastern-West Khasi Hill,2025-06-25,0.9966666666666667,0.28910562086027836
20636,Meghalaya,Eastern-West Khasi Hill,2024-10-08,1.0,0.2532356350521374
20637,Meghalaya,Eastern-West Khasi Hill,2024-08-06,1.0,0.32817543993973236
20642,Meghalaya,Eastern-West Khasi Hill,2025-05-28,0.9866666666666667,0.3762847023864768
20646,Meghalaya,Eastern-West Khasi Hill,2025-06-11,0.9933333333333333,0.2707788359280451
20650,Meghalaya,Eastern-West Khasi Hill,2024-05-29,0.9766666666666667,0.6452083821209342
20652,Meghalaya,Eastern-West Khasi Hill,2024-08-28,0.97,0.32352110665101275
20643,Meghalaya,Eastern-West Khasi Hill,2025-06-25,0.99,0.28910562086027836
20641,Meghalaya,Eastern-West Khasi Hill,2025-05-28,0.9833333333333333,0.3762847023864768
19675,Meghalaya,Jaintia Hills,2007-07-31,0.7466666666666667,0.8713294099009072
20055,Meghalaya,Jaintia Hills,2009-07-17,0.9366666666666666,0.2070874238408905
19681,Meghalaya,Jaintia Hills,2007-07-31,0.8966666666666666,0.8713294099009072
20534,Meghalaya,Ri-Bhoi,2012-07-26,0.6633333333333333,0.3508510814262625
20628,Meghalaya,Ri-Bhoi,2024-06-14,0.98,0.4356257375160176
20629,Meghalaya,Ri-Bhoi,2024-07-14,0.99,0.3486070343188475
20350,Meghalaya,Ri-Bhoi,2017-06-17,0.9433333333333334,0.861327890374079
20469,Meghalaya,Ri-Bhoi,2014-09-23,0.6833333333333333,0.9182330004283443
20460,Meghalaya,Ri-Bhoi,2014-10-05,0.8333333333333334,0.2385684485450287
20452,Meghalaya,Ri-Bhoi,2014-09-23,0.87,0.9654923068073895
20496,Meghalaya,Ri-Bhoi,2025-07-06,1.0,0.31371946498020065
20497,Meghalaya,Ri-Bhoi,2024-07-06,0.98,0.4348252583747932
20538,Meghalaya,Ri-Bhoi,2011-06-26,0.9833333333333333,0.26934855253424667
20474,Meghalaya,Ri-Bhoi,2014-09-20,0.79,0.23618928741736483
20655,Meghalaya,South West Garo Hills,2026-07-13,0.9,0.32902546612221073
20595,Meghalaya,South West Khasi Hills,2024-06-15,0.9666666666666667,0.9726936597261766
20491,Meghalaya,South West Khasi Hills,2024-06-15,0.8733333333333333,0.980014251182974
20492,Meghalaya,South West Khasi Hills,2024-06-17,0.7933333333333333,0.9961567836699899
20493,Meghalaya,South West Khasi Hills,2024-06-17,0.9033333333333333,0.9961567836699899
20495,Meghalaya,South West Khasi Hills,2024-06-15,0.71,0.980014251182974
20494,Meghalaya,South West Khasi Hills,2024-06-17,0.82,0.9961567836699899
19914,Meghalaya,South West Khasi Hills,2013-08-06,0.9766666666666667,0.36087547492486854
20108,Meghalaya,West Garo Hills,2007-07-27,0.9133333333333333,0.6400184237703825
20578,Meghalaya,West Garo Hills,2022-06-09,0.6766666666666666,0.7671016639161877
20486,Meghalaya,West Jaintia Hills,2020-05-25,0.7866666666666666,0.44436575399851874
20489,Meghalaya,West Jaintia Hills,2020-06-26,0.95,0.9725323344255592
20592,Meghalaya,West Jaintia Hills,2023-08-10,0.9266666666666666,0.1500826101695874
20524,Meghalaya,West Khasi Hills,2012-05-01,0.6866666666666666,0.2790995891708402
20535,Meghalaya,West Khasi Hills,2012-08-21,0.9033333333333333,0.7282620207498419
20591,Meghalaya,West Khasi Hills,2023-06-17,0.9233333333333333,0.9333606881478962
20376,Meghalaya,West Khasi Hills,2007-09-15,0.7033333333333334,0.49134460647423733
20390,Meghalaya,West Khasi Hills,2007-09-15,0.6666666666666666,0.49134460647423733
19737,Meghalaya,West Khasi Hills,2008-08-12,0.7666666666666667,0.39349047176886703
19739,Meghalaya,West Khasi Hills,2008-08-10,0.9666666666666667,0.33684723528442506
20112,Meghalaya,West Khasi Hills,2007-07-25,0.8233333333333334,0.9699784664837476
20064,Meghalaya,West Khasi Hills,2007-07-17,0.98,0.6817464338918103
20014,Meghalaya,West Khasi Hills,2007-06-16,0.7666666666666667,0.7757337270486396
20033,Meghalaya,West Khasi Hills,2007-06-16,0.7766666666666666,0.8325283809353681
20096,Meghalaya,West Khasi Hills,2007-07-25,0.9966666666666667,0.9699784664837476
20114,Meghalaya,West Khasi Hills,2007-07-25,0.9733333333333334,0.9699784664837476
19924,Meghalaya,East Khasi Hills,2007-07-19,0.9933333333333333,0.9827429667559204
19917,Meghalaya,East Khasi Hills,2007-07-19,0.8766666666666667,0.9827429667559204
20097,Meghalaya,East Khasi Hills,2007-07-19,0.9466666666666667,0.9661216344634976
20099,Meghalaya,West Khasi Hills,2007-07-19,0.9966666666666667,0.8799541458038148
19916,Meghalaya,West Khasi Hills,2007-07-19,0.9933333333333333,0.9839755284575307
19923,Meghalaya,West Khasi Hills,2007-07-19,0.8733333333333333,0.9927935450066061
19915,Meghalaya,West Khasi Hills,2007-07-19,0.8533333333333334,0.9927935450066061
20038,Meghalaya,East Khasi Hills,2007-08-18,0.96,0.17622031757648915
20036,Meghalaya,South Garo hills,2007-08-18,0.9433333333333334,0.24170197919125358
20047,Meghalaya,West Khasi Hills,2007-08-18,0.7666666666666667,0.2116991931250314
20035,Meghalaya,West Khasi Hills,2007-08-18,1.0,0.2116991931250314
20037,Meghalaya,West Khasi Hills,2007-08-18,0.98,0.23236519700613414
20142,Meghalaya,East Khasi Hills,2009-07-01,0.7533333333333333,0.8114927542615477
20148,Meghalaya,East Khasi Hills,2009-07-01,0.91,0.8114927542615477
20144,Meghalaya,East Khasi Hills,2009-07-01,0.79,0.8114927542615477
20141,Meghalaya,East Khasi Hills,2009-07-01,0.8666666666666667,0.840976275567891
20143,Meghalaya,Jaintia Hills,2009-07-01,0.9133333333333333,0.840976275567891
20521,Meghalaya,Jaintia Hills,2010-04-22,0.94,0.990252056895289
20522,Meghalaya,Jaintia Hills,2010-04-22,0.9866666666666667,0.990252056895289
20523,Meghalaya,Jaintia Hills,2010-04-22,0.9866666666666667,0.990252056895289
20517,Meghalaya,Jaintia Hills,2010-04-22,0.9966666666666667,0.9981467904205624
20518,Meghalaya,Jaintia Hills,2010-04-22,0.97,0.9981467904205624
20519,Meghalaya,Jaintia Hills,2010-04-22,0.9466666666666667,0.9981467904205624
20520,Meghalaya,Jaintia Hills,2010-04-22,0.9833333333333333,0.9927983279096609
20525,Meghalaya,Jaintia Hills,2012-06-26,0.7566666666666667,0.965703690259915
20526,Meghalaya,Jaintia Hills,2012-06-26,0.7966666666666666,0.965703690259915
20527,Meghalaya,Jaintia Hills,2012-06-26,0.8566666666666667,0.9660491523762441
20528,Meghalaya,Jaintia Hills,2012-06-26,0.8566666666666667,0.9660491523762441
20529,Meghalaya,Jaintia Hills,2012-06-26,0.9666666666666667,0.9660491523762441
20530,Meghalaya,Jaintia Hills,2012-06-26,0.9166666666666666,0.9660491523762441
20531,Meghalaya,Jaintia Hills,2012-06-26,0.8033333333333333,0.9645765901737756
20532,Meghalaya,Jaintia Hills,2012-06-26,0.9766666666666667,0.9645765901737756
20533,Meghalaya,Jaintia Hills,2012-06-26,0.8166666666666667,0.9645765901737756
20553,Meghalaya,West Jaintia Hills,2020-05-26,0.85,0.9221501677866992
20554,Meghalaya,West Jaintia Hills,2020-05-26,0.9566666666666667,0.9221501677866992
20557,Meghalaya,West Jaintia Hills,2020-05-26,0.9233333333333333,0.9221501677866992
20559,Meghalaya,West Jaintia Hills,2020-05-26,0.9366666666666666,0.9221501677866992
20490,Meghalaya,West Jaintia Hills,2020-05-26,0.93,0.8664939575079453
20487,Meghalaya,West Jaintia Hills,2020-05-26,0.87,0.9351826216788959
20558,Meghalaya,West Jaintia Hills,2020-05-26,0.86,0.9351826216788959
20560,Meghalaya,West Jaintia Hills,2020-05-26,0.9733333333333334,0.9221501677866992
20575,Meghalaya,South Garo Hills,2022-06-17,0.67,0.9999362570701346
20579,Meghalaya,South Garo Hills,2022-06-17,0.8033333333333333,0.9959199529879167
